Gene_ids	Treatment1	Treatment2	Treatment3	Controle1	Controle2	Controle3
ENSG00000223972	1	0	0	0	0	0
ENSG00000227232	1	0	0	1	0	0
ENSG00000278267	0	0	0	0	0	0
ENSG00000243485	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0
ENSG00000238009	1	0	0	0	0	0
ENSG00000239945	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0
ENSG00000268903	0	0	0	0	1	1
ENSG00000269981	0	1	4	2	2	2
ENSG00000239906	0	0	0	0	0	0
ENSG00000241860	2	1	3	3	2	2
ENSG00000222623	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0
ENSG00000279928	0	0	0	0	0	0
ENSG00000279457	17	5	18	18	13	13
ENSG00000273874	0	0	0	0	0	0
ENSG00000228463	0	4	0	3	1	1
ENSG00000286448	0	0	0	0	0	0
ENSG00000236679	0	0	0	0	0	0
ENSG00000236601	2	2	3	8	9	9
ENSG00000237094	3	6	11	12	8	8
ENSG00000269732	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0
ENSG00000230021	0	4	0	1	3	3
ENSG00000235146	0	0	0	0	0	0
ENSG00000225972	10	8	11	0	1	1
ENSG00000225630	1070	876	969	1053	970	970
ENSG00000237973	511	403	351	527	573	573
ENSG00000278791	0	0	0	0	0	0
ENSG00000229344	60	48	36	6	17	17
ENSG00000240409	3	4	1	4	4	4
ENSG00000248527	4562	3026	2866	3743	5495	5495
ENSG00000198744	20	13	14	5	9	9
ENSG00000268663	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0
ENSG00000229376	0	2	0	0	1	1
ENSG00000228327	14	22	23	14	20	20
ENSG00000223181	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0
ENSG00000237491	12	22	15	5	11	11
ENSG00000285268	0	0	0	0	0	0
ENSG00000230092	1	2	1	1	1	1
ENSG00000177757	0	1	0	5	5	5
ENSG00000228794	131	122	139	145	153	153
ENSG00000225880	3	1	3	0	6	6
ENSG00000288531	0	0	0	0	2	2
ENSG00000230368	0	0	0	0	1	1
ENSG00000234711	1	1	0	0	0	0
ENSG00000283040	0	0	0	0	0	0
ENSG00000272438	4	1	6	1	1	1
ENSG00000230699	9	9	14	3	18	18
ENSG00000241180	0	0	0	0	0	0
ENSG00000223764	114	52	172	98	186	186
ENSG00000187634	39	8	48	18	45	45
ENSG00000188976	2081	1039	1872	998	1497	1497
ENSG00000187961	186	72	232	69	209	209
ENSG00000187583	58	29	93	42	76	76
ENSG00000187642	4	1	4	1	8	8
ENSG00000272512	38	19	38	6	40	40
ENSG00000188290	67	19	59	25	63	63
ENSG00000187608	1419	226	1340	443	1558	1558
ENSG00000231702	0	3	0	0	0	0
ENSG00000224969	4	6	5	4	2	2
ENSG00000188157	3289	1433	3953	2209	5004	5004
ENSG00000242590	0	0	0	0	0	0
ENSG00000217801	93	81	119	55	108	108
ENSG00000273443	13	4	17	8	8	8
ENSG00000237330	636	307	539	135	244	244
ENSG00000131591	183	65	173	50	132	132
ENSG00000285812	4	9	10	3	3	3
ENSG00000223823	4	0	0	1	0	0
ENSG00000207730	0	0	0	0	0	0
ENSG00000207607	1	0	2	0	3	3
ENSG00000198976	1	2	1	0	2	2
ENSG00000272141	19	6	20	10	26	26
ENSG00000205231	1	0	4	1	2	2
ENSG00000162571	13	5	9	8	16	16
ENSG00000186891	10	6	20	8	14	14
ENSG00000186827	2	0	1	1	2	2
ENSG00000078808	2227	786	1884	1269	2293	2293
ENSG00000176022	421	220	331	281	309	309
ENSG00000184163	4	0	4	1	11	11
ENSG00000260179	6	2	3	1	8	8
ENSG00000160087	614	349	469	451	509	509
ENSG00000230415	3	3	8	3	13	13
ENSG00000162572	27	17	56	10	48	48
ENSG00000131584	676	339	814	359	803	803
ENSG00000278073	0	0	0	0	0	0
ENSG00000169972	139	34	147	46	114	114
ENSG00000127054	1394	784	1446	991	1656	1656
ENSG00000283712	0	0	0	0	0	0
ENSG00000240731	81	87	82	45	73	73
ENSG00000224051	190	69	176	127	237	237
ENSG00000169962	6	4	11	3	15	15
ENSG00000107404	540	154	529	177	456	456
ENSG00000284372	0	0	0	0	0	0
ENSG00000162576	13	11	27	14	29	29
ENSG00000175756	1146	399	893	563	929	929
ENSG00000223663	0	0	0	0	0	0
ENSG00000221978	2364	1955	2819	1454	2155	2155
ENSG00000224870	491	232	445	428	608	608
ENSG00000242485	1357	815	1016	1048	892	892
ENSG00000264293	0	0	0	0	0	0
ENSG00000272455	56	34	45	39	39	39
ENSG00000235098	1	0	0	0	1	1
ENSG00000225905	0	0	1	1	1	1
ENSG00000205116	0	0	0	0	0	0
ENSG00000225285	0	0	0	0	1	1
ENSG00000179403	162	38	170	97	246	246
ENSG00000215915	15	11	21	5	13	13
ENSG00000160072	272	149	374	89	220	220
ENSG00000284740	2	1	4	1	1	1
ENSG00000197785	340	133	347	114	207	207
ENSG00000205090	0	1	1	0	1	1
ENSG00000160075	2965	1800	2380	2584	2568	2568
ENSG00000215014	11	3	8	17	12	12
ENSG00000274481	0	0	0	0	0	0
ENSG00000228594	483	99	447	146	324	324
ENSG00000286989	21	11	24	13	32	32
ENSG00000272106	132	84	87	141	133	133
ENSG00000197530	120	64	183	63	245	245
ENSG00000189409	0	0	0	0	0	0
ENSG00000248333	636	442	592	450	615	615
ENSG00000272004	0	0	0	0	0	0
ENSG00000189339	548	418	710	525	750	750
ENSG00000269737	6	7	20	5	7	7
ENSG00000215914	0	0	0	0	0	0
ENSG00000008128	26	23	43	16	43	43
ENSG00000268575	20	19	18	39	41	41
ENSG00000227775	40	49	62	41	71	71
ENSG00000215790	33	42	51	45	63	63
ENSG00000008130	1496	666	1372	931	1491	1491
ENSG00000078369	7017	5017	6431	6883	6899	6899
ENSG00000231050	0	1	2	2	7	7
ENSG00000169885	21	11	25	13	28	28
ENSG00000178821	36	16	45	18	28	28
ENSG00000142609	3	0	1	2	1	1
ENSG00000233542	0	1	0	0	0	0
ENSG00000187730	35	11	44	21	31	31
ENSG00000226969	1	0	0	0	0	0
ENSG00000067606	566	341	592	750	896	896
ENSG00000271806	2	5	4	0	4	4
ENSG00000182873	25	24	61	12	32	32
ENSG00000162585	199	92	190	129	224	224
ENSG00000234396	0	0	0	0	0	0
ENSG00000157933	612	451	668	535	598	598
ENSG00000287356	4	2	11	3	10	10
ENSG00000116151	91	88	131	101	129	129
ENSG00000272161	0	1	0	0	1	1
ENSG00000269896	48	22	41	45	47	47
ENSG00000272420	4	2	5	3	0	0
ENSG00000157916	2115	1413	1714	1669	1692	1692
ENSG00000157911	288	146	252	209	252	252
ENSG00000149527	28	18	34	19	34	34
ENSG00000224387	0	0	0	1	2	2
ENSG00000229393	0	0	0	0	0	0
ENSG00000157881	325	186	301	196	318	318
ENSG00000197921	0	0	0	0	0	0
ENSG00000272449	20	5	23	10	32	32
ENSG00000238164	0	2	3	1	1	1
ENSG00000157873	8	2	4	6	8	8
ENSG00000225931	0	0	0	0	0	0
ENSG00000228037	0	1	0	0	2	2
ENSG00000157870	924	442	905	509	783	783
ENSG00000142606	11	1	11	16	29	29
ENSG00000237058	0	0	0	0	0	0
ENSG00000215912	13	17	21	18	37	37
ENSG00000285945	0	0	0	0	0	0
ENSG00000283259	0	0	0	1	0	0
ENSG00000233234	0	0	0	0	0	0
ENSG00000287396	0	0	1	1	0	0
ENSG00000231630	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0
ENSG00000177133	8	4	8	3	2	2
ENSG00000142611	68	61	101	88	99	99
ENSG00000283572	0	0	0	0	0	0
ENSG00000226286	3	0	0	1	0	0
ENSG00000279839	0	0	0	0	0	0
ENSG00000272235	1	1	0	0	0	0
ENSG00000287828	0	0	0	0	0	0
ENSG00000286518	2	1	2	2	0	0
ENSG00000130762	533	200	468	344	681	681
ENSG00000272088	0	2	1	2	2	2
ENSG00000162591	384	277	474	230	392	392
ENSG00000207776	0	0	0	0	0	0
ENSG00000238260	3	1	2	4	5	5
ENSG00000158109	808	465	655	732	820	820
ENSG00000116213	509	261	468	269	364	364
ENSG00000078900	64	27	57	21	47	47
ENSG00000227589	0	0	0	0	0	0
ENSG00000235131	0	0	0	0	0	0
ENSG00000227372	1	0	0	0	0	0
ENSG00000276189	0	0	0	0	0	0
ENSG00000162592	2	3	4	2	2	2
ENSG00000235169	7	1	3	3	11	11
ENSG00000130764	900	588	773	689	796	796
ENSG00000266075	3	1	4	2	0	0
ENSG00000272153	9	15	12	2	9	9
ENSG00000116198	1092	865	1071	1058	1120	1120
ENSG00000169598	125	116	122	117	95	95
ENSG00000198912	806	562	739	684	669	669
ENSG00000236423	3	1	5	9	6	6
ENSG00000233304	1	0	3	2	0	0
ENSG00000226374	0	1	0	0	0	0
ENSG00000284668	0	0	0	0	0	0
ENSG00000284703	0	0	0	0	0	0
ENSG00000229280	1	0	0	0	0	0
ENSG00000235054	0	1	0	0	0	0
ENSG00000284694	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0
ENSG00000196581	14	7	19	15	19	19
ENSG00000287586	0	0	0	0	0	0
ENSG00000284739	0	0	0	0	0	0
ENSG00000284674	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0
ENSG00000236948	1	0	0	0	0	0
ENSG00000264341	0	0	0	0	0	0
ENSG00000264101	0	0	0	0	0	0
ENSG00000131697	429	224	465	225	375	375
ENSG00000069424	430	250	445	278	500	500
ENSG00000116254	110	79	160	47	108	108
ENSG00000285629	0	0	0	0	0	0
ENSG00000116251	2799	1942	2120	2605	1826	1826
ENSG00000226944	5	1	4	6	6	6
ENSG00000158286	129	123	164	142	248	248
ENSG00000116237	3043	2290	2847	2286	2219	2219
ENSG00000225077	48	28	37	35	26	26
ENSG00000173673	0	0	0	0	0	0
ENSG00000158292	372	171	364	201	298	298
ENSG00000097021	731	320	662	309	456	456
ENSG00000271746	8	1	5	3	4	4
ENSG00000069812	70	51	77	63	94	94
ENSG00000187017	508	182	576	256	607	607
